#R0    Rn    Rmax
1e-05    0.00012    0.000332643
1.2e-05    0.00012    0.000325316
1.4e-05    0.00012    0.000317879
1.6e-05    0.00012    0.000310423
1.7999999999999997e-05    0.00012    0.000303019
1.9999999999999998e-05    0.00012    0.000295731
2.2e-05    0.00012    0.000288598
2.3999999999999997e-05    0.00012    0.000281682
2.5999999999999995e-05    0.00012    0.000275003
2.7999999999999996e-05    0.00012    0.000268577
2.9999999999999997e-05    0.00012    0.000262417
3.199999999999999e-05    0.00012    0.00025652
3.399999999999999e-05    0.00012    0.000250875
3.5999999999999994e-05    0.00012    0.000245477
3.7999999999999995e-05    0.00012    0.000240316
3.999999999999999e-05    0.00012    0.000235372
4.199999999999999e-05    0.00012    0.000230629
4.399999999999999e-05    0.00012    0.000226079
4.599999999999999e-05    0.00012    0.000221699
4.799999999999999e-05    0.00012    0.000217496
4.999999999999999e-05    0.00012    0.000213434
5.199999999999999e-05    0.00012    0.000209527
5.3999999999999984e-05    0.00012    0.000205745
5.5999999999999986e-05    0.00012    0.000202086
5.799999999999999e-05    0.00012    0.000198537
5.999999999999999e-05    0.00012    0.000195103
6.199999999999999e-05    0.00012    0.000191758
6.399999999999998e-05    0.00012    0.000188516
6.599999999999999e-05    0.00012    0.000185356
6.799999999999999e-05    0.00012    0.000182277
6.999999999999998e-05    0.00012    0.000179271
7.199999999999999e-05    0.00012    0.000176341
7.399999999999998e-05    0.00012    0.000173473
7.599999999999998e-05    0.00012    0.000170674
7.799999999999999e-05    0.00012    0.00016793
7.999999999999998e-05    0.00012    0.000165242
8.199999999999999e-05    0.00012    0.000162609
8.399999999999998e-05    0.00012    0.000160027
8.599999999999998e-05    0.00012    0.00015749
8.799999999999998e-05    0.00012    0.000154998
8.999999999999998e-05    0.00012    0.000152552
9.199999999999997e-05    0.00012    0.000150145
9.399999999999998e-05    0.00012    0.000147777
9.599999999999998e-05    0.00012    0.00014545
9.799999999999997e-05    0.00012    0.000143157
9.999999999999998e-05    0.00012    0.000140899
0.00010199999999999997    0.00012    0.000138674
0.00010399999999999998    0.00012    0.000136482
0.00010599999999999997    0.00012    0.000134321
0.00010799999999999997    0.00012    0.000132191
0.00010999999999999998    0.00012    0.000130089
0.00011199999999999997    0.00012    0.000128016
0.00011399999999999998    0.00012    0.000125972
0.00011599999999999997    0.00012    0.000123955
0.00011799999999999997    0.00012    0.000121964
0.00011999999999999998    0.00012    0.00012
1e-05    0.000122    0.000338797
1.2e-05    0.000122    0.000331486
1.4e-05    0.000122    0.00032404
1.6e-05    0.000122    0.000316593
1.7999999999999997e-05    0.000122    0.000309176
1.9999999999999998e-05    0.000122    0.000301864
2.2e-05    0.000122    0.000294712
2.3999999999999997e-05    0.000122    0.000287746
2.5999999999999995e-05    0.000122    0.000281014
2.7999999999999996e-05    0.000122    0.000274535
2.9999999999999997e-05    0.000122    0.000268305
3.199999999999999e-05    0.000122    0.000262345
3.399999999999999e-05    0.000122    0.000256628
3.5999999999999994e-05    0.000122    0.000251172
3.7999999999999995e-05    0.000122    0.000245936
3.999999999999999e-05    0.000122    0.00024092
4.199999999999999e-05    0.000122    0.00023611
4.399999999999999e-05    0.000122    0.00023149
4.599999999999999e-05    0.000122    0.000227058
4.799999999999999e-05    0.000122    0.00022279
4.999999999999999e-05    0.000122    0.000218672
5.199999999999999e-05    0.000122    0.0002147
5.3999999999999984e-05    0.000122    0.000210856
5.5999999999999986e-05    0.000122    0.000207148
5.799999999999999e-05    0.000122    0.000203552
5.999999999999999e-05    0.000122    0.000200063
6.199999999999999e-05    0.000122    0.000196672
6.399999999999998e-05    0.000122    0.000193381
6.599999999999999e-05    0.000122    0.000190174
6.799999999999999e-05    0.000122    0.00018705
6.999999999999998e-05    0.000122    0.000184003
7.199999999999999e-05    0.000122    0.00018103
7.399999999999998e-05    0.000122    0.000178128
7.599999999999998e-05    0.000122    0.000175288
7.799999999999999e-05    0.000122    0.000172506
7.999999999999998e-05    0.000122    0.000169784
8.199999999999999e-05    0.000122    0.000167116
8.399999999999998e-05    0.000122    0.000164499
8.599999999999998e-05    0.000122    0.000161929
8.799999999999998e-05    0.000122    0.000159407
8.999999999999998e-05    0.000122    0.000156926
9.199999999999997e-05    0.000122    0.00015449
9.399999999999998e-05    0.000122    0.000152094
9.599999999999998e-05    0.000122    0.000149736
9.799999999999997e-05    0.000122    0.000147412
9.999999999999998e-05    0.000122    0.000145127
0.00010199999999999997    0.000122    0.000142875
0.00010399999999999998    0.000122    0.000140656
0.00010599999999999997    0.000122    0.000138468
0.00010799999999999997    0.000122    0.00013631
0.00010999999999999998    0.000122    0.000134183
0.00011199999999999997    0.000122    0.000132084
0.00011399999999999998    0.000122    0.000130014
0.00011599999999999997    0.000122    0.00012797
0.00011799999999999997    0.000122    0.000125954
0.00011999999999999998    0.000122    0.000123964
0.00012199999999999997    0.000122    0.000122
1e-05    0.00012399999999999998    0.000344944
1.2e-05    0.00012399999999999998    0.000337646
1.4e-05    0.00012399999999999998    0.000330214
1.6e-05    0.00012399999999999998    0.000322769
1.7999999999999997e-05    0.00012399999999999998    0.000315331
1.9999999999999998e-05    0.00012399999999999998    0.000308005
2.2e-05    0.00012399999999999998    0.000300813
2.3999999999999997e-05    0.00012399999999999998    0.000293824
2.5999999999999995e-05    0.00012399999999999998    0.000287044
2.7999999999999996e-05    0.00012399999999999998    0.000280498
2.9999999999999997e-05    0.00012399999999999998    0.000274215
3.199999999999999e-05    0.00012399999999999998    0.000268187
3.399999999999999e-05    0.00012399999999999998    0.000262415
3.5999999999999994e-05    0.00012399999999999998    0.000256872
3.7999999999999995e-05    0.00012399999999999998    0.000251571
3.999999999999999e-05    0.00012399999999999998    0.000246498
4.199999999999999e-05    0.00012399999999999998    0.000241615
4.399999999999999e-05    0.00012399999999999998    0.000236937
4.599999999999999e-05    0.00012399999999999998    0.00023244
4.799999999999999e-05    0.00012399999999999998    0.000228107
4.999999999999999e-05    0.00012399999999999998    0.000223931
5.199999999999999e-05    0.00012399999999999998    0.000219894
5.3999999999999984e-05    0.00012399999999999998    0.000216005
5.5999999999999986e-05    0.00012399999999999998    0.000212238
5.799999999999999e-05    0.00012399999999999998    0.000208583
5.999999999999999e-05    0.00012399999999999998    0.000205049
6.199999999999999e-05    0.00012399999999999998    0.000201613
6.399999999999998e-05    0.00012399999999999998    0.000198271
6.599999999999999e-05    0.00012399999999999998    0.000195016
6.799999999999999e-05    0.00012399999999999998    0.000191851
6.999999999999998e-05    0.00012399999999999998    0.000188764
7.199999999999999e-05    0.00012399999999999998    0.00018575
7.399999999999998e-05    0.00012399999999999998    0.000182802
7.599999999999998e-05    0.00012399999999999998    0.000179926
7.799999999999999e-05    0.00012399999999999998    0.000177105
7.999999999999998e-05    0.00012399999999999998    0.000174348
8.199999999999999e-05    0.00012399999999999998    0.000171643
8.399999999999998e-05    0.00012399999999999998    0.000168993
8.599999999999998e-05    0.00012399999999999998    0.000166389
8.799999999999998e-05    0.00012399999999999998    0.000163837
8.999999999999998e-05    0.00012399999999999998    0.000161324
9.199999999999997e-05    0.00012399999999999998    0.000158859
9.399999999999998e-05    0.00012399999999999998    0.00015643
9.599999999999998e-05    0.00012399999999999998    0.000154044
9.799999999999997e-05    0.00012399999999999998    0.000151692
9.999999999999998e-05    0.00012399999999999998    0.000149379
0.00010199999999999997    0.00012399999999999998    0.000147099
0.00010399999999999998    0.00012399999999999998    0.000144853
0.00010599999999999997    0.00012399999999999998    0.000142636
0.00010799999999999997    0.00012399999999999998    0.000140453
0.00010999999999999998    0.00012399999999999998    0.0001383
0.00011199999999999997    0.00012399999999999998    0.000136175
