#patm    pac   Rmax
10000.0    82000000.0   0.00273438
10000.0    84000000.0   0.00278968
10000.0    86000000.0   0.00284437
10000.0    88000000.0   0.00289917
10000.0    90000000.0   0.00295355
10000.0    92000000.0   0.00300771
10000.0    94000000.0   0.00306168
10000.0    96000000.0   0.00311544
10000.0    98000000.0   0.00316896

12000.0    2000000.0   9.46094e-05
12000.0    4000000.0   0.000189845
12000.0    6000000.0   0.000274846
12000.0    8000000.0   0.000354514
12000.0    10000000.0   0.000430541
12000.0    12000000.0   0.000503853
12000.0    14000000.0   0.000575018
12000.0    16000000.0   0.000644376
12000.0    18000000.0   0.000712195
12000.0    20000000.0   0.000778683
12000.0    22000000.0   0.000844006
12000.0    24000000.0   0.000908273
12000.0    26000000.0   0.00097158
12000.0    28000000.0   0.00103406
12000.0    30000000.0   0.00109574
12000.0    32000000.0   0.00115667
12000.0    34000000.0   0.0012169
12000.0    36000000.0   0.00127657
12000.0    38000000.0   0.00133565
12000.0    40000000.0   0.00139413
12000.0    42000000.0   0.00145204
12000.0    44000000.0   0.0015096
12000.0    46000000.0   0.00156657
12000.0    48000000.0   0.00162315
12000.0    50000000.0   0.00167916
12000.0    52000000.0   0.00173497
12000.0    54000000.0   0.00179034
12000.0    56000000.0   0.00184531
12000.0    58000000.0   0.00189993
12000.0    60000000.0   0.00195427
12000.0    62000000.0   0.00200826
12000.0    64000000.0   0.00206183
12000.0    66000000.0   0.00211527
12000.0    68000000.0   0.00216821
12000.0    70000000.0   0.00222107
12000.0    72000000.0   0.00227351
12000.0    74000000.0   0.00232564
12000.0    76000000.0   0.00237762
12000.0    78000000.0   0.00242934
12000.0    80000000.0   0.00248087
12000.0    82000000.0   0.00253212
12000.0    84000000.0   0.00258305
12000.0    86000000.0   0.00263388
12000.0    88000000.0   0.00268444
12000.0    90000000.0   0.00273475
12000.0    92000000.0   0.00278488
12000.0    94000000.0   0.00283484
12000.0    96000000.0   0.00288448
12000.0    98000000.0   0.0029342

14000.0    2000000.0   8.90818e-05
14000.0    4000000.0   0.000178695
14000.0    6000000.0   0.000258575
14000.0    8000000.0   0.000333419
14000.0    10000000.0   0.000404853
14000.0    12000000.0   0.000473745
14000.0    14000000.0   0.000540586
14000.0    16000000.0   0.000605701
14000.0    18000000.0   0.000669399
14000.0    20000000.0   0.000731866
14000.0    22000000.0   0.000793186
14000.0    24000000.0   0.000853564
14000.0    26000000.0   0.000913019
