# the cases were examined from time 10e-6 to 1.0
#case             offset_x   D_init   Rn     Rmax    alpha_r   Dstar   time_of_maxU_liq    max_U_liq
3D_run141_alphar2.0_dstar2.3   0.003   0.00115   0.000182     0.0004931484    2.02778717319   2.33195524917  9.083004718e-05      286.63127

3D_run141_alphar2.8_dstar0.3   0.0026   0.00015   0.000182     0.0004931484    2.83890204247   0.304168075979  0.0001019097938      42.930047
3D_run141_alphar2.8_dstar0.4   0.0026   0.0002   0.000182     0.0004931484    2.83890204247   0.405557434638  9.872138713e-05      52.736861
3D_run141_alphar2.8_dstar0.5   0.0026   0.00025   0.000182     0.0004931484    2.83890204247   0.506946793298  9.648168009e-05      64.746704
3D_run141_alphar2.8_dstar0.6   0.0026   0.0003   0.000182     0.0004931484    2.83890204247   0.608336151958  9.513458535e-05      75.02809
3D_run141_alphar2.8_dstar0.7   0.0026   0.00035   0.000182     0.0004931484    2.83890204247   0.709725510617  9.443380863e-05      82.599212   # ithExtremum = 3
3D_run141_alphar2.8_dstar0.8   0.0026   0.0004   0.000182     0.0004931484    2.83890204247   0.811114869277  9.391878975e-05      87.944688
3D_run141_alphar2.8_dstar0.9   0.0026   0.00045   0.000182     0.0004931484    2.83890204247   0.912504227936  9.368502498e-05      93.097784
3D_run141_alphar2.8_dstar1.1   0.0026   0.00055   0.000182     0.0004931484    2.83890204247   1.11528294526  9.325994747e-05      102.06506
3D_run141_alphar2.8_dstar1.3   0.0026   0.00065   0.000182     0.0004931484    2.83890204247   1.31806166257  9.27764337e-05      110.80031
3D_run141_alphar2.8_dstar1.5   0.0026   0.00075   0.000182     0.0004931484    2.83890204247   1.52084037989  9.252910851e-05      124.60187
3D_run141_alphar2.8_dstar1.65   0.0026   0.000825   0.000182     0.0004931484    2.83890204247   1.67292441788  9.235677599e-05      133.85271
3D_run141_alphar2.8_dstar1.8   0.0026   0.0009   0.000182     0.0004931484    2.83890204247   1.82500845587  9.204231266e-05      150.38256
3D_run141_alphar2.8_dstar2.0   0.0026   0.001   0.000182     0.0004931484    2.83890204247   2.02778717319  9.222878696e-05      200.7108
3D_run141_alphar2.8_dstar2.15   0.0026   0.001075   0.000182     0.0004931484    2.83890204247   2.17987121118  9.158187004e-05      220.66767
3D_run141_alphar2.8_dstar2.3   0.0026   0.00115   0.000182     0.0004931484    2.83890204247   2.33195524917  9.125525688e-05      268.37784

